name,value
Aceh,7
Bali,8
Banten,8
Bengkulu,7
DKI Jakarta,7
Daerah Istimewa Yogyakarta,7
Gorontalo,7
Jambi,7
Jawa Barat,7
Jawa Tengah,7
Jawa Timur,7
Kalimantan Barat,7
Kalimantan Selatan,7
Kalimantan Tengah,7
Kalimantan Timur,7
Kalimantan Utara,7
Kepulauan Bangka Belitung,7
Kepulauan Riau,7
Lampung,7
Maluku,7
Maluku Utara,7
Nusa Tenggara Barat,7
Nusa Tenggara Timur,7
Papua,7
Papua Barat,7
Papua Pegunungan,7
Papua Selatan,7
Papua Tengah,7
Riau,7
Sulawesi Barat,7
Sulawesi Selatan,7
Sulawesi Tengah,7
Sulawesi Tenggara,7
Sulawesi Utara,7
Sumatera Barat,7
Sumatera Selatan,7
Sumatera Utara,7
